FRAME,HBONDS
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,1
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,1
49,0
50,1
51,2
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,1
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,1
139,2
140,1
141,2
142,0
143,2
144,0
145,1
146,1
147,0
148,2
149,1
150,1
151,0
152,0
153,1
154,1
155,2
156,1
157,0
158,0
159,1
160,1
161,2
162,0
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,0
172,0
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,0
181,1
182,1
183,1
184,1
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,1
195,0
196,0
197,0
198,0
199,1
200,1
201,0
202,1
203,0
204,1
205,0
206,1
207,1
208,0
209,0
210,0
211,0
212,0
213,1
214,1
215,1
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,1
243,0
244,0
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,1
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,1
284,2
285,0
286,0
287,1
288,0
289,1
290,1
291,0
292,1
293,0
294,0
295,0
296,1
297,0
298,1
299,0
300,1
301,0
302,1
303,1
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,0
324,0
325,1
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,0
341,1
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,1
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,1
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,1
373,1
374,0
375,1
376,1
377,0
378,0
379,0
380,0
381,0
382,1
383,0
384,1
385,1
386,0
387,0
388,0
389,1
390,0
391,0
392,1
393,0
394,0
395,0
396,1
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,1
405,0
406,1
407,1
408,1
409,1
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,1
431,0
432,1
433,0
434,0
435,1
436,1
437,0
438,0
439,0
440,1
441,1
442,1
443,1
444,2
445,0
446,1
447,0
448,0
449,1
450,1
451,0
452,1
453,1
454,0
455,0
456,0
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,0
465,1
466,1
467,0
468,0
469,0
470,0
471,0
472,0
473,1
474,0
475,0
476,1
477,0
478,1
479,0
480,0
481,0
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,1
497,0
498,0
499,1
500,0
501,0
502,1
503,0
504,0
505,1
506,0
507,0
508,1
509,0
510,1
511,1
512,1
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,1
597,1
598,0
599,0
600,1
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,0
623,0
624,0
625,0
626,1
627,0
628,0
629,0
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,0
638,1
639,1
640,0
641,1
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,1
653,0
654,0
655,1
656,0
657,1
658,1
659,1
660,0
661,0
662,0
663,0
664,1
665,0
666,1
667,0
668,0
669,1
670,0
671,0
672,1
673,0
674,0
675,0
676,0
677,1
678,0
679,0
680,0
681,0
682,0
683,0
684,1
685,0
686,0
687,1
688,1
689,1
690,0
691,0
692,1
693,0
694,1
695,1
696,1
697,0
698,1
699,1
700,1
701,1
702,0
703,1
704,1
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,1
718,0
719,0
720,1
721,1
722,0
723,1
724,1
725,1
726,1
727,0
728,1
729,0
730,1
731,1
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,1
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,1
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,1
799,0
800,0
801,1
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,1
811,0
812,1
813,0
814,0
815,1
816,0
817,1
818,0
819,0
820,1
821,0
822,0
823,1
824,0
825,0
826,1
827,0
828,0
829,1
830,0
831,0
832,0
833,0
834,0
835,0
836,1
837,1
838,0
839,0
840,1
841,0
842,0
843,1
844,1
845,0
846,1
847,0
848,0
849,0
850,1
851,0
852,1
853,0
854,0
855,1
856,1
857,1
858,1
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,1
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,2
910,1
911,0
912,1
913,1
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,1
946,0
947,0
948,0
949,2
950,0
951,0
952,0
953,1
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,1
963,0
964,0
965,1
966,0
967,0
968,0
969,1
970,1
971,0
972,0
973,0
974,0
975,0
976,0
977,1
978,0
979,0
980,1
981,0
982,0
983,0
984,0
985,1
986,1
987,0
988,1
989,0
990,0
991,1
992,0
993,0
994,0
995,0
996,1
997,0
998,0
999,0
